,total_incoming_bytes,total_incoming_bytes,total_outgoing_bytes,total_outgoing_bytes,incoming_ratio,avg_packet_size
,mean,max,mean,max,mean,mean
class_label,,,,,,
amazone,369931.7,981017,69359.5,166685,0.8214936612066787,891.9934927409524
cnn,6091393.5,10414864,396905.7,538819,0.9128243639706456,1199.3189114185134
github,2322546.7,2541210,129646.9,153438,0.9471275339254481,1070.9318697297
itb,17518582.8,70345519,162523.7,383687,0.9362233823480459,1033.9651494879422
wikipedia,16967.4,74545,33454.7,272560,0.44033750573971703,341.3461692654593
youtube,161724.4,188616,105324.1,127593,0.6057766110009186,776.1904025400983
